"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-651.877677331148,854.854354844721,-10.943895515674,3.68429202457854e-21,1.47459852665347e-16,7.10202605841421,"NOP56"
-209.852511043607,185.16295442236,-10.883450986397,5.39405039470863e-21,1.47459852665347e-16,7.02096461363424,"UTP4"
-5279.69898632787,4066.60713975155,-10.7843394641877,1.00720924783965e-20,1.83563885418776e-16,6.88754110287023,"RTN3"
-602.242864478688,561.889162298137,-10.434040748189,9.09211703852182e-20,1.24277874770295e-15,6.41110429178192,"PSMB3"
-953.157543598361,1029.72434409317,-10.1362760130831,5.84257503076223e-19,6.3888557961385e-15,6.00049480089704,"EGR1"
-183.155568195902,239.141951463975,-10.0252540066212,1.16594149488525e-18,1.06246418721418e-14,5.84616537211173,"SUPV3L1"
-291.099548644263,389.976984273292,-9.61469987956794,1.47901720270576e-17,1.13342007026519e-13,5.27015777757572,"TRAPPC12"
-765.010935053607,764.469075521739,-9.59610253178187,1.65841071095043e-17,1.13342007026519e-13,5.24388165408068,"CRMP1"
-6276.94545660656,4852.54809751553,-9.5035658769622,2.92902222524265e-17,1.77938100183491e-13,5.11291786000504,"ENC1"
-1040.52194203279,1113.75626751553,-9.39541172066133,5.68406323731596e-17,3.1077615750025e-13,4.95940567684534,"P4HTM"
-1615.07075120164,1503.53104099379,-9.35979484533749,7.06787741014007e-17,3.51305633999462e-13,4.90875098636756,"MAST3"
-78.9093700727869,76.635967031677,-9.32009910231486,9.00826713964877e-17,4.10439171550247e-13,4.85223854019403,"TOMM22"
-158.949753297295,114.476485419255,-9.19499035963959,1.93136201102872e-16,8.12286291946119e-13,4.67375316239172,"FABP3"
-90.5528255790164,104.750683416149,-9.18252499570187,2.08351173594606e-16,8.13685744020361e-13,4.65593949740017,"ICA1"
-180.990818142459,194.250054621118,-9.16388204991595,2.33359120617026e-16,8.50593994649061e-13,4.62928793562147,"KDM1A"
-285.958849406557,319.557861428571,-9.14786406177994,2.57216594479578e-16,8.78957331448185e-13,4.6063796760925,"LYRM9"
-1448.33424686885,1564.91925513043,-9.12564578642143,2.94375153839936e-16,9.42140378129788e-13,4.57459001635117,"EIF3C"
-390.820899279016,475.425186885714,-9.11703580726426,3.10169671812276e-16,9.42140378129788e-13,4.56226662843876,"MANBAL"
-393.035223612197,359.958418606211,-9.09108132517222,3.63064703046291e-16,1.04476645468716e-12,4.52510379165597,"CDK5"
-1284.69279693443,1303.68005132919,-9.07760850991956,3.9396656692333e-16,1.07700610232665e-12,4.50580435721547,"PSMD1"
-110.278675608197,171.999477701863,-9.00613171064995,6.07297475481346e-16,1.58114235580679e-12,4.40332225558473,"DYRK4"
-2668.64726945902,2061.75106459627,-8.96321008826611,7.87124220611677e-16,1.95618258008834e-12,4.34170900280417,"YWHAZ"
-3747.71228159016,5026.09992111801,-8.94644153023869,8.70973702758627e-16,2.07045596514469e-12,4.31762369532198,"SEPTIN8"
-109.84539324541,114.093487149068,-8.93393157830882,9.3925930075941e-16,2.13975009454253e-12,4.29965005276054,"PTPN3"
-1550.37426704098,1464.17781428571,-8.92196572880649,1.00954777546132e-15,2.20788098493391e-12,4.2824540978986,"EIF3C"
-1684.16122039836,1613.05179428571,-8.90495043786729,1.11859100955686e-15,2.35226782490466e-12,4.25799493085257,"EIF3C"
-559.788429357377,634.703389937888,-8.88521014557855,1.2598421033996e-15,2.55118025938419e-12,4.22960887557403,"WARS1"
-1681.14442113115,1676.55214068323,-8.87903494176725,1.30756817880006e-15,2.55326036342477e-12,4.22072696402136,"PFKM"
-3917.28837121312,3146.74501,-8.84539698472817,1.60090446041718e-15,3.01825694390723e-12,4.17232746745454,"UCHL1"
-1438.76267859016,1289.33374931677,-8.83628705071626,1.69103559995506e-15,3.08191238091809e-12,4.15921479545854,"TUBB"
-175.850859457213,153.059944658385,-8.81946518155952,1.87092507914459e-15,3.22018936710797e-12,4.13499625065374,"IDH3G"
-2819.16595134426,2474.29272195652,-8.81824397377738,1.88470159574677e-15,3.22018936710797e-12,4.1332377977111,"TUBB4B"
