"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"200875_s_at",-651.877677331148,854.854354844721,-10.943895515674,3.68429202457854e-21,1.47459852665347e-16,7.10202605841421,"Downregulated"
"230656_s_at",-209.852511043607,185.16295442236,-10.883450986397,5.39405039470863e-21,1.47459852665347e-16,7.02096461363424,"Downregulated"
"219549_s_at",-5279.69898632787,4066.60713975155,-10.7843394641877,1.00720924783965e-20,1.83563885418776e-16,6.88754110287023,"Downregulated"
"201400_at",-602.242864478688,561.889162298137,-10.434040748189,9.09211703852182e-20,1.24277874770295e-15,6.41110429178192,"Downregulated"
"227404_s_at",-953.157543598361,1029.72434409317,-10.1362760130831,5.84257503076223e-19,6.3888557961385e-15,6.00049480089704,"Downregulated"
"212894_at",-183.155568195902,239.141951463975,-10.0252540066212,1.16594149488525e-18,1.06246418721418e-14,5.84616537211173,"Downregulated"
"203122_at",-291.099548644263,389.976984273292,-9.61469987956794,1.47901720270576e-17,1.13342007026519e-13,5.27015777757572,"Downregulated"
"202517_at",-765.010935053607,764.469075521739,-9.59610253178187,1.65841071095043e-17,1.13342007026519e-13,5.24388165408068,"Downregulated"
"201341_at",-6276.94545660656,4852.54809751553,-9.5035658769622,2.92902222524265e-17,1.77938100183491e-13,5.11291786000504,"Downregulated"
"222125_s_at",-1040.52194203279,1113.75626751553,-9.39541172066133,5.68406323731596e-17,3.1077615750025e-13,4.95940567684534,"Downregulated"
"213045_at",-1615.07075120164,1503.53104099379,-9.35979484533749,7.06787741014007e-17,3.51305633999462e-13,4.90875098636756,"Downregulated"
"222474_s_at",-78.9093700727869,76.635967031677,-9.32009910231486,9.00826713964877e-17,4.10439171550247e-13,4.85223854019403,"Downregulated"
"205738_s_at",-158.949753297295,114.476485419255,-9.19499035963959,1.93136201102872e-16,8.12286291946119e-13,4.67375316239172,"Downregulated"
"204002_s_at",-90.5528255790164,104.750683416149,-9.18252499570187,2.08351173594606e-16,8.13685744020361e-13,4.65593949740017,"Downregulated"
"212348_s_at",-180.990818142459,194.250054621118,-9.16388204991595,2.33359120617026e-16,8.50593994649061e-13,4.62928793562147,"Downregulated"
"213195_at",-285.958849406557,319.557861428571,-9.14786406177994,2.57216594479578e-16,8.78957331448185e-13,4.6063796760925,"Downregulated"
"215230_x_at",-1448.33424686885,1564.91925513043,-9.12564578642143,2.94375153839936e-16,9.42140378129788e-13,4.57459001635117,"Downregulated"
"224689_at",-390.820899279016,475.425186885714,-9.11703580726426,3.10169671812276e-16,9.42140378129788e-13,4.56226662843876,"Downregulated"
"204247_s_at",-393.035223612197,359.958418606211,-9.09108132517222,3.63064703046291e-16,1.04476645468716e-12,4.52510379165597,"Downregulated"
"201199_s_at",-1284.69279693443,1303.68005132919,-9.07760850991956,3.9396656692333e-16,1.07700610232665e-12,4.50580435721547,"Downregulated"
"212954_at",-110.278675608197,171.999477701863,-9.00613171064995,6.07297475481346e-16,1.58114235580679e-12,4.40332225558473,"Downregulated"
"200640_at",-2668.64726945902,2061.75106459627,-8.96321008826611,7.87124220611677e-16,1.95618258008834e-12,4.34170900280417,"Downregulated"
"226627_at",-3747.71228159016,5026.09992111801,-8.94644153023869,8.70973702758627e-16,2.07045596514469e-12,4.31762369532198,"Downregulated"
"227944_at",-109.84539324541,114.093487149068,-8.93393157830882,9.3925930075941e-16,2.13975009454253e-12,4.29965005276054,"Downregulated"
"200647_x_at",-1550.37426704098,1464.17781428571,-8.92196572880649,1.00954777546132e-15,2.20788098493391e-12,4.2824540978986,"Downregulated"
